ChoicesName,Position,FieldData,Description,SubVersion,USDescription,AustralianDescription,NewZealandDescription
2d_bridge_crest_level,0,Height,Height,0,,,
2d_bridge_crest_level,1,Level,Level,0,,,
2d_bridge_crest_level,2,Irregular,Irregular,0,,,
2d_flow_type,0,Free,Fully free,0,,,
2d_flow_type,1,Controlled,Fully controlled,0,,,
2d_flow_type,2,Orifice,Orifice controlled,0,,,
2d_horz_eddy_visc_eqn,0,None,None,0,,,
2d_horz_eddy_visc_eqn,1,Mixing length,Mixing length,0,,,
2d_horz_eddy_visc_eqn,2,Smagorinsky,Smagorinsky,0,,,
2d_linear_crest_level,0,Infinite,Infinite,0,,,
2d_linear_crest_level,1,Height,Height,0,,,
2d_linear_crest_level,2,Level,Level,0,,,
2d_linear_crest_level,3,Irregular,Irregular,0,,,
2d_linear_struct_hlspec,0,Uniform,Uniform,0,,,
2d_linear_struct_hlspec,1,Upstream & downstream,Upstream & downstream,0,,,
2d_linear_struct_hltype,0,Fixed,Fixed,0,,,
2d_linear_struct_hltype,1,Per unit length,Per unit length,0,,,
2d_linear_struct_weir,0,Broad crested,Broad crested,0,,,
2d_linear_struct_weir,1,Thin plate,Thin plate,0,,,
2d_linear_structure_type,0,Wall,Wall,0,,,
2d_linear_structure_type,1,Weir,Weir,0,,,
2d_linear_structure_type,2,User control,User control,0,,,
2d_mesh_gnd_level_mod,0,None,None,0,,,
2d_mesh_gnd_level_mod,1,Raise or lower,Raise or lower,0,,,
2d_mesh_gnd_level_mod,2,Level,Level,0,,,
2d_mesh_gnd_level_mod,3,Upper limit,Upper limit,0,,,
2d_mesh_gnd_level_mod,4,Lower limit,Lower limit,0,,,
2d_over_flow_type,0,Free,Fully free,0,,,
2d_over_flow_type,1,Controlled,Fully controlled,0,,,
2d_point_source_trigger,0,Depth,Depth,0,,,
2d_point_source_trigger,1,Elevation,Elevation,0,,,
2d_point_source_trigger,2,Velocity,Velocity,0,,,
2d_point_source_trigger,3,Unit flow,Unit flow,0,,,
2d_point_source_trigger,4,Total head,Total head,0,,,
2d_porous_wall_rem_wall,0,Never,Never,0,,,
2d_porous_wall_rem_wall,1,Fully,Fully,0,,,
2d_porous_wall_rem_wall,2,Partially,Partially,0,,,
2d_porous_wall_trigger,0,Depth,Depth,0,,,
2d_porous_wall_trigger,1,Elevation,Elevation,0,,,
2d_porous_wall_trigger,2,Velocity,Velocity,0,,,
2d_porous_wall_trigger,3,Unit flow,Unit flow,0,,,
2d_porous_wall_trigger,4,Total head,Total head,0,,,
2d_porous_wall_trigger,5,Force per unit length,Force per unit length,0,,,
2d_runoff_volume_type,0,Fixed,Fixed,0,,,
2d_runoff_volume_type,1,Horton,Horton,0,,,
2d_runoff_volume_type,2,ConstInf,ConstInf,0,,,
2d_runoff_volume_type,3,GreenAmpt,GreenAmpt,0,,,
2d_runoff_volume_type,4,DefConLoss,DefConLoss,4572,,,
2d_sluice_crest_level,0,Height,Height,0,,,
2d_sluice_crest_level,1,Level,Level,0,,,
2d_vert_eddy_visc_eqn,0,None,None,0,,,
2d_vert_eddy_visc_eqn,1,Parabolic,Parabolic,0,,,
aldepth_method,0,Constant,Constant,0,,,
aldepth_method,1,D50,D50,0,,,
aldepth_method,2,D90,D90,0,,,
aldepth_method_1D,0,Explicit,Explicit,0,,,
aldepth_method_1D,1,D50,D50,0,,,
aldepth_method_1D,2,D90,D90,0,,,
apply_rainfall_subcatch_2d_zone,0,everywhere,everywhere,0,,,
apply_rainfall_subcatch_2d_zone,1,outside subcatchments,outside subcatchments and buildings,0,,,
area_measurement_type,0,Absolute,Absolute,0,,,
area_measurement_type,1,Percent,Percent,0,,,
arma_error_calc,0,Linear,Linear,0,,,
arma_error_calc,1,Logarithmic,Logarithmic,0,,,
BaseFlow_calc,0,PDM,PDM,0,,,
BaseFlow_calc,1,None,None,0,,,
bed_updating,0,Invert,Invert,0,,,
bed_updating,1,Uniform,Uniform,0,,,
bedload_boundary_type,0,Pollutograph,Pollutograph,0,,,
bedload_boundary_type,1,Equilibrium,Equilibrium,0,,,
bedload_boundary_type,2,No evolution,No evolution,0,,,
bedload_formula,0,Meyer-Peter-Müller,Meyer-Peter-Müller,0,,,
bedload_formula,1,Wong and Parker,Wong and Parker,0,,,
bedload_formula,2,Van Rijn,Van Rijn,0,,,
bedload_formula,3,Einstein-Brown,Einstein-Brown,0,,,
bedload_formula,4,User defined,User defined,0,,,
bench_method,0,Depressed,Depressed,0,,,
bench_method,1,Flat,Flat,0,,,
bench_method,2,Half Benching,Half Benching,0,,,
bench_method,3,Full Benching,Full Benching,0,,,
bench_method,4,Improved,Improved,0,,,
boundary_line_type_2d,0,Vertical wall,Vertical wall,0,,,
boundary_line_type_2d,1,Critical depth,Critical depth,0,,,
boundary_line_type_2d,2,Supercritical,Supercritical,0,,,
boundary_line_type_2d,3,Dry,Dry,0,,,
boundary_line_type_2d,4,Normal depth,Normal depth,0,,,
boundary_line_type_2d,5,Inflow,Inflow,0,,,
boundary_line_type_2d,6,Level,Level,0,,,
boundary_line_type_2d,7,Level & head/discharge,Level & head/discharge,0,,,
boundary_type_2d_zone,0,Vertical wall,Vertical wall,0,,,
boundary_type_2d_zone,1,Critical condition,Critical condition,0,,,
boundary_type_2d_zone,2,Supercritical condition,Supercritical condition,0,,,
boundary_type_2d_zone,3,Dry,Dry,0,,,
boundary_type_2d_zone,4,Normal condition,Normal condition,0,,,
BSL,0,ACT,active,0,,,
BSL,1,DEP,deposited,0,,,
BSL,2,PAR,parent,0,,,
building_drains_to,0,Node,Node,4573,,,
building_drains_to,1,Link,Link,4573,,,
building_drains_to,2,2D point source,2D point source,4573,,,
building_mesh_level_type,0,Level,Specified fixed level,4573,,,
building_mesh_level_type,1,Rel. to highest,Fixed level relative to highest,4573,,,
building_mesh_level_type,2,Rel. to lowest,Fixed level relative to lowest,4573,,,
building_mesh_level_type,3,Specify,Specified boundary elevations,4573,,,
BUILDUPTYPE,0,NO_BUILDUP,None,0,,,
BUILDUPTYPE,1,POWER_BUILDUP,Power,0,,,
BUILDUPTYPE,2,EXPON_BUILDUP,Exponential,0,,,
BUILDUPTYPE,3,SATUR_BUILDUP,Saturation,0,,,
CFX,0,cf1,CF1,0,,,
CFX,1,cf2,CF2,0,,,
CFX,2,cf3,CF3,0,,,
CFX,3,cf4,CF4,0,,,
channel_roughness_type,0,MANNING,Manning's 1/n,0,,,
channel_roughness_type,1,N,Manning's n,0,,,
channel_roughness_type,2,CW,Colebrook White,0,,,
conduit_roughness_type,0,CW,Colebrook-White,0,,,
conduit_roughness_type,1,HW,Hazen Williams,0,,,
conduit_roughness_type,2,MANNING,Manning's 1/n,0,,,
conduit_roughness_type,3,N,Manning's n,0,,,
conduit_type,0,Conduit,Conduit,0,,,
conduit_type,1,Conduit (2D),Conduit (2D),0,,,
conduit_type,2,Linear drainage (2D),Linear drainage (2D),0,,,
conduit_type,3,Culvert,Culvert,4503,,,
conduit_type,4,Culvert (2D),Culvert (2D),4636,,,
connection_type,0,Closed,Closed,0,,,
connection_type,1,Lost,Lost,0,,,
connection_type,2,2D,2D,0,,,
connection_type,3,Break,Break,0,,,
connection_type,4,2D line,2D line,4630,,,
critical_sewer_category,0,-,-,0,,,
critical_sewer_category,1,A,A,0,,,
critical_sewer_category,2,B,B,0,,,
critical_sewer_category,3,C,C,0,,,
critical_shields_method,0,User defined,User defined,0,,,
critical_shields_method,1,Shields curve,Shields curve,0,,,
culvert_equation,0,A,A,0,,,
culvert_equation,1,B,B,0,,,
culvert_in_rev_model,0,NOMINAL,Nominal head loss,0,,,
culvert_in_rev_model,1,OUTLET,Become outlet,0,,,
culvert_in_type,,,Other,0,,,
culvert_in_type,1,1,Circular concrete - Headwall square edge,0,,,
culvert_in_type,2,2,Circular concrete - Headwall socket end of pipe,0,,,
culvert_in_type,3,3,Circular concrete - Projecting socket end of pipe,0,,,
culvert_in_type,4,4,Circular corrugated metal - Headwall,0,,,
culvert_in_type,5,5,Circular corrugated metal - Mitred to slope,0,,,
culvert_in_type,6,6,Circular corrugated metal - Projecting,0,,,
culvert_in_type,7,7,Circular - Beveled ring 45deg,0,,,
culvert_in_type,8,8,Circular - Beveled ring 33.7deg,0,,,
culvert_in_type,9,9,Rect. box concrete - 30-70deg wingwall flares,0,,,
culvert_in_type,10,10,Rect. box concrete - 90 or 15deg wingwall flares,0,,,
culvert_in_type,11,11,Rect. box concrete - 0deg wingwall flares,0,,,
culvert_in_type,12,12,Rect. box concrete - 45deg flare 0.43D top edge bevel,0,,,
culvert_in_type,13,13,Rect. box concrete - 18-33.7deg flare 0.083D top edge bevel,0,,,
culvert_in_type,14,14,Rect. box concrete - 90deg headwall with 3/4in chamfers,0,,,
culvert_in_type,15,15,Rect. box concrete - 90deg headwall with 45deg bevels,0,,,
culvert_in_type,16,16,Rect. box concrete - 90deg headwall with 33.7deg bevels,0,,,
culvert_in_type,17,17,Rect. box concrete - 3/4in chamfers 45deg skewed headwall,0,,,
culvert_in_type,18,18,Rect. box concrete - 3/4in chamfers 30deg skewed headwall,0,,,
culvert_in_type,19,19,Rect. box concrete - 3/4in chamfers 15deg skewed headwall,0,,,
culvert_in_type,20,20,Rect. box concrete - 45deg bevels 10-45deg skewed headwall,0,,,
culvert_in_type,21,21,Rect. box 3/4in chamfer concrete - 45deg non-offset wingwall flares,0,,,
culvert_in_type,22,22,Rect. box 3/4in chamfer concrete - 18.4deg non-offset wingwall flares,0,,,
culvert_in_type,23,23,Rect. box 3/4in chamfer concrete - 18.4deg non-offset wingwall flares 30deg inlet skew,0,,,
culvert_in_type,24,24,Rect. box top bevel concrete - 45deg wingwall flares offset,0,,,
culvert_in_type,25,25,Rect. box top bevel concrete - 33.7deg wingwall flares offset,0,,,
culvert_in_type,26,26,Rect. box top bevel concrete - 18.4deg wingwall flares offset,0,,,
culvert_in_type,27,27,Box corrugated metal - 90deg headwall,0,,,
culvert_in_type,28,28,Box corrugated metal - Thick wall projecting,0,,,
culvert_in_type,29,29,Box corrugated metal - Thin wall projecting,0,,,
culvert_in_type,30,30,Horizontal ellipse concrete - 90deg headwall,0,,,
culvert_in_type,31,31,Horizontal ellipse concrete - Groove endd with headwall,0,,,
culvert_in_type,32,32,Horizontal ellipse concrete - Groove end projecting,0,,,
culvert_in_type,33,33,Vertical ellipse concrete - Square edge projecting,0,,,
culvert_in_type,34,34,Vertical ellipse concrete - Groove end with headwall,0,,,
culvert_in_type,35,35,Vertical ellipse concrete - Groove end projecting,0,,,
culvert_in_type,36,36,Pipe arch 18in corner rad CM - 90deg headwall,0,,,
culvert_in_type,37,37,Pipe arch 18in corner rad CM - Mitred to slope,0,,,
culvert_in_type,38,38,Pipe arch 18in corner rad CM - Projecting (FHWA 1974),0,,,
culvert_in_type,39,39,Pipe arch 18in corner rad CM - Projecting (Bossy 1963),0,,,
culvert_in_type,40,40,Pipe arch 18in corner rad CM - No bevels,0,,,
culvert_in_type,41,41,Pipe arch 18in corner rad CM - 33.7deg bevels,0,,,
culvert_in_type,42,42,Pipe arch 31in corner rad CM - Projecting,0,,,
culvert_in_type,43,43,Pipe arch 31in corner rad CM - No bevels,0,,,
culvert_in_type,44,44,Pipe arch 31in corner rad CM - 33.7deg bevels,0,,,
culvert_in_type,45,45,Arch corrugated metal - 90deg headwall,0,,,
culvert_in_type,46,46,Arch corrugated metal - Mitred to slope,0,,,
culvert_in_type,47,47,Arch corrugated metal - Thin wall projecting,0,,,
culvert_in_type,48,48,Circular - Smooth tapered inlet throat,0,,,
culvert_in_type,49,49,Circular - Rough tapered inlet throat,0,,,
culvert_in_type,50,50,Elliptical face - Tapered inlet-beveled edges,0,,,
culvert_in_type,51,51,Elliptical face - Tapered inlet-square edges,0,,,
culvert_in_type,52,52,Elliptical face - Tapered inlet-thin projecting,0,,,
culvert_in_type,53,53,Rectangular concrete - Tapered inlet throat,0,,,
culvert_in_type,54,54,Rectangular concrete - Side tapered-less favorable edges,0,,,
culvert_in_type,55,55,Rectangular concrete - Side tapered-more favorable edges,0,,,
culvert_in_type,56,56,Rectangular concrete - Slope tapered-less favorable edges,0,,,
culvert_in_type,57,57,Rectangular concrete - Slope tapered-more favorable edges,0,,,
culvert_out_rev_model,0,NOMINAL,Nominal head loss,0,,,
culvert_out_rev_model,1,INLET,Become inlet,0,,,
Damage_Curve_Type,0,Absolute,Absolute,0,,,
Damage_Curve_Type,1,Relative to value,Relative to value,0,,,
Damage_Curve_Type,2,Relative to area,Relative to area,0,,,
DET,0,bod,BOD,0,,,
DET,1,cod,COD,0,,,
DET,2,tkn,TKN,0,,,
DET,3,nh4,NH4,0,,,
DET,4,tph,TPH,0,,,
DET,5,pl1,PL1,0,,,
DET,6,pl2,PL2,0,,,
DET,7,pl3,PL3,0,,,
DET,8,pl4,PL4,0,,,
DET,9,do_,DO,0,,,
DET,10,no3,NO3,0,,,
DET,11,no2,NO2,0,,,
DET,12,sal,Salt,0,,,
DET,13,alg,ALG,0,,,
DET,14,si_,SI,0,,,
DET,15,sul,SUL,0,,,
DET,16,dc_,DC,0,,,
DET,17,dn_,DN,0,,,
DET,18,dp_,DP,0,,,
DET,19,dsi,DSI,0,,,
DET,20,sf1,SF1,0,,,
DET,21,sf2,SF2,0,,,
DET,22,tw_,TW,0,,,
DET,23,col,COL,0,,,
diff1d_type,0,River,River,0,,,
diff1d_type,1,Estuary,Estuary,0,,,
erosion_limit_type,0,Depth,Depth,0,,,
erosion_limit_type,1,Level,Level,0,,,
erosion_limit_type,2,Depth and level,Depth and level,0,,,
erosion_limit_type,3,Unlimited,Unlimited,0,,,
erosion_model,0,Ackers-White,Ackers-White,0,,,
erosion_model,1,Velikanov,Velikanov,0,,,
erosion_model,2,KUL,KUL,0,,,
evapotranspiration_type,0,Linear,Linear,0,,,
