TableName,FieldName,SubVersion,Type,SubType,SubSubType,Size,Units,SuperNumbatFieldName,WallabySubTable,ShortDescription,LongDescription,Required,Auto,IsInteresting,CSV,DisplayOrdinal,LabelDescription,Default,EditControlStyle,Validation,DefaultSourceTable,DefaultSourceField,ShortName,GeometryFieldCode,ExportName,ChoiceLookupObjectType,ChoiceLookupField,GridCellTypeClass,StructureOrdinal,DateTimeFormat,Precision,LocalOnly,ReadOnly,ChoiceOnly,ClearTextChoice,Fake,IgnoreZeroForLimits,JetOnlyBlob,SortOnAbsValue,IWLiveField,IWLiveReadOnlyField,GMRField,GMRRunTypes,IWLiveWQ,IWLivePrecedingProjection,IWLiveBalanceNet,RequiredForModeling,DefaultFlagAllowed,GISFlagAllowed,NodeFlagAllowed,AffectsDateStamp,StoresFileRef,CacheLevel,CanBeSetWhenScripting,ColumnWidthInGrid,PossiblyTVD,CreateFlagField,ErrorUpperLimit,ErrorLowerLimit,WarningUpperLimit,WarningLowerLimit,Choice,NotInTemplate,IsSWMMResult,IsIWResult,IsWQResult,USShortDescription,AustralianShortDescription,NewZealandShortDescription,USLongDescription,AustralianLongDescription,NewZealandLongDescription,USColumnWidthInGrid,AustralianColumnWidthInGrid,NewZealandColumnWidthInGrid
__FloodVolume,__flood_volume,0,Single,,,0,VO,,0,,,F,F,0,0,0,,,,,,,,,,,,,0,,1,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,8,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_Flow,INPQ,0,Single,,,0,Q,,0,Input flow,Input flow,F,F,2,0,0,Inp flow,,,QIN,,,,,,,,,0,,5,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,8,T,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_GWLevel,INPGWZ,0,Single,,,0,Z,,0,Input GW level,Input groundwater level,F,F,2,0,0,Inp GW level,,,IFN,,,,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,8,T,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_Level,INPZ,0,Single,,,0,Z,,0,Input level,Input level,F,F,2,0,0,Inp level,,,LEV,,,,,,,,,0,,3,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,8,T,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_RegFIXPMP,INPONOFF,0,Single,,,0,,,0,Input pump on/off,Input pump on/off,F,F,0,0,0,Inp pump on,,,REV,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_RegGTWEIR,INPOPENING,0,Single,,,0,L,,0,Input opening,Input opening,F,F,0,0,0,Inp opening,,,REV,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_RegROTPMP,INPONOFF,0,Single,,,0,,,0,Input pump on/off,Input pump on/off,F,F,0,0,0,Inp pump on,,,REV,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_RegVCWEIR,INPCRESTZ,0,Single,,,0,Z,,0,Input crest height,Input crest height,F,F,0,0,0,Inp crest,,,REV,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_RegVFDPMP,INPSPEED,0,Single,,,0,WN_AV,,0,Input pump speed,Input pump speed,F,F,0,0,0,Inp pmp spd,,,REV,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_RegVLDORF,INPLIMITQ,0,Single,,,0,Q,,0,Input limiting flow,Input limiting flow,F,F,0,0,0,Inp lim flow,,,REV,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_RegVRGATE,INPANGLE,0,Single,,,0,ANGLE,,0,Input angle,Input angle,F,F,0,0,0,Inp angle,,,REV,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
__INP_RegVSGATE,INPOPENING,0,Single,,,0,L,,0,Input opening,Input opening,F,F,0,0,0,Inp opening,,,REV,,,,,,,,,0,,0,F,F,F,F,F,F,F,F,F,F,F,,F,F,F,0,0,0,0,0,0,0,0,0,F,F,0.000000,0.000000,0.000000,0.000000,,F,F,F,F,,,,,,,0,0,0
