TableName,IndexName,Primary,Unique,Required,Index1,Index2,Index3,Index4,Index5,Index6,Index7
Alert Definition List,PrimaryKey,T,T,T,ID,,,,,,
ams_scenario,PrimaryKey,T,T,T,scenario__id,,,,,,
Asset Group,PrimaryKey,T,T,T,ID,,,,,,
Asset Group Owners,PrimaryKey,T,T,T,Name,Group,,,,,
Asset Group Preferences,PrimaryKey,T,T,T,ProjectID,Name,,,,,
Asset Network,PrimaryKey,T,T,T,ID,,,,,,
Asset Validation,PrimaryKey,T,T,T,ID,,,,,,
Assimilation,PrimaryKey,T,T,T,ID,,,,,,
cams_scenario,PrimaryKey,T,T,T,scenario__id,,,,,,
Collection Cost Estimator,PrimaryKey,T,T,T,ID,,,,,,
Collection Inference,PrimaryKey,T,T,T,ID,,,,,,
Collection Network,PrimaryKey,T,T,T,ID,,,,,,
Collection Network Template,PrimaryKey,T,T,T,ID,,,,,,
Collection Validation,PrimaryKey,T,T,T,ID,,,,,,
Custom Graph,PrimaryKey,T,T,T,ID,,,,,,
Custom Report,PrimaryKey,T,T,T,ID,,,,,,
Damage Calculation Results,PrimaryKey,T,T,T,ID,,,,,,
Damage Function,PrimaryKey,T,T,T,ID,,,,,,
Distribution Cost Estimator,PrimaryKey,T,T,T,ID,,,,,,
Distribution Inference,PrimaryKey,T,T,T,ID,,,,,,
Distribution Network,PrimaryKey,T,T,T,ID,,,,,,
Distribution Network Template,PrimaryKey,T,T,T,ID,,,,,,
Distribution Validation,PrimaryKey,T,T,T,ID,,,,,,
Flow Survey,PrimaryKey,T,T,T,ID,,,,,,
ge_prefs,PrimaryKey,T,T,T,Name,,,,,,
ge_tree_object,PrimaryKey,T,T,T,polygon_id,,,,,,
Geo Explorer,Name,F,T,T,Name,,,,,,
Geo Explorer,PrimaryKey,T,T,T,ID,,,,,,
Global Preferences,PrimaryKey,T,T,T,Name,,,,,,
Globals,PrimaryKey,T,T,T,GUID,,,,,,
Graph,PrimaryKey,T,T,T,ID,,,,,,
Gridded Ground Model,PrimaryKey,T,T,T,ID,,,,,,
Ground Infiltration,PrimaryKey,T,T,T,ID,,,,,,
Ground Model,PrimaryKey,T,T,T,ID,,,,,,
hw_1d_results_point,PrimaryKey,T,T,T,point_id,,,,,,
hw_2d_boundary_line,PrimaryKey,T,T,T,line_id,,,,,,
hw_2d_bridge,PrimaryKey,T,T,T,line_id,,,,,,
hw_2d_connect_line,PrimaryKey,T,T,T,line_id,,,,,,
hw_2d_ic_polygon,PrimaryKey,T,T,T,polygon_id,,,,,,
hw_2d_inf_ic_polygon,PrimaryKey,T,T,T,polygon_id,,,,,,
hw_2d_infil_surface,PrimaryKey,T,T,T,surface_id,,,,,,
hw_2d_infiltration_zone,PrimaryKey,T,T,T,polygon_id,,,,,,
hw_2d_line_source,PrimaryKey,T,T,T,line_id,,,,,,
hw_2d_linear_structure,PrimaryKey,T,T,T,line_id,,,,,,
hw_2d_permeable_zone,PrimaryKey,T,T,T,polygon_id,,,,,,
hw_2d_point_source,PrimaryKey,T,T,T,point_id,,,,,,
hw_2d_results_line,PrimaryKey,T,T,T,line_id,,,,,,
hw_2d_results_point,PrimaryKey,T,T,T,point_id,,,,,,
hw_2d_results_polygon,PrimaryKey,T,T,T,polygon_id,,,,,,
hw_2d_sed_ic_polygon,PrimaryKey,T,T,T,polygon_id,,,,,,
hw_2d_sluice,PrimaryKey,T,T,T,line_id,,,,,,
hw_2d_turbulence_model,PrimaryKey,T,T,T,model_id,,,,,,
hw_2d_turbulence_zone,PrimaryKey,T,T,T,polygon_id,,,,,,
hw_2d_wq_ic_polygon,PrimaryKey,T,T,T,polygon_id,,,,,,
hw_2d_zone,PrimaryKey,T,T,T,zone_id,,,,,,
hw_arma,descriptor_id,F,F,F,arma_type,,,,,,
hw_arma,PrimaryKey,T,T,T,arma_type,,,,,,
hw_bank_survey,PrimaryKey,T,T,T,id,,,,,,
hw_blockage,link_suffix,F,F,F,link_suffix,,,,,,
hw_blockage,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_bridge,link_suffix,F,F,F,link_suffix,,,,,,
hw_bridge,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_bridge_blockage,PrimaryKey,T,T,T,id,,,,,,
hw_bridge_inlet,PrimaryKey,T,T,T,id,,,,,,
hw_bridge_opening,PrimaryKey,T,T,T,id,,,,,,
hw_bridge_outlet,PrimaryKey,T,T,T,id,,,,,,
hw_building,building_id,F,F,F,building_id,,,,,,
hw_building,node_id,F,F,F,node_id,,,,,,
hw_building,PrimaryKey,T,T,T,building_id,,,,,,
hw_channel,link_suffix,F,F,F,link_suffix,,,,,,
hw_channel,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_channel_shape,PrimaryKey,T,T,T,shape_id,,,,,,
hw_channel_shape,shape_id,F,F,F,shape_id,,,,,,
hw_conduit,link_suffix,F,F,F,link_suffix,,,,,,
hw_conduit,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_cross_section_survey,PrimaryKey,T,T,T,id,,,,,,
hw_culvert_inlet,link_suffix,F,F,F,link_suffix,,,,,,
hw_culvert_inlet,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_culvert_outlet,link_suffix,F,F,F,link_suffix,,,,,,
hw_culvert_outlet,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_damage_receptor,PrimaryKey,T,T,T,point_id,,,,,,
hw_flap_valve,link_suffix,F,F,F,link_suffix,,,,,,
hw_flap_valve,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_flow_efficiency,flow_efficiency_id,F,F,F,flow_efficiency_id,,,,,,
hw_flow_efficiency,PrimaryKey,T,T,T,flow_efficiency_id,,,,,,
hw_flume,link_suffix,F,F,F,link_suffix,,,,,,
hw_flume,PrimaryKey,T,T,T,us_node_id,link_suffix,,,,,
hw_general_line,PrimaryKey,T,T,T,line_id,,,,,,
hw_general_point,PrimaryKey,T,T,T,point_id,,,,,,
hw_ground_infiltration,ground_index,F,F,F,ground_id,,,,,,
hw_ground_infiltration,PrimaryKey,T,T,T,ground_id,,,,,,
