Name,Description,ShortCode,Type,SubType,PrimarySubTypeField,CSV,NormalModelTable,StructureOrdinalsMatter,SubVersion,GeometryType,LDSUniqueIDGroup,TemplateOf,IsSingleRecordTable,ScenarioMode,AssetNetworkTableClass
__FloodVolume,,,F,,,0,F,F,0,,,,F,0,
__INP_Flow,Input flow,,F,,,0,F,F,0,,,,F,0,
__INP_GWLevel,Input groundwater level,,F,,,0,F,F,0,,,,F,0,
__INP_Level,Input level,,F,,,0,F,F,0,,,,F,0,
__INP_RegFIXPMP,Input FIXPMP state,,F,,,0,F,F,0,,,,F,0,
__INP_RegGTWEIR,Input GTWEIR state,,F,,,0,F,F,0,,,,F,0,
__INP_RegROTPMP,Input ROTPMP state,,F,,,0,F,F,0,,,,F,0,
__INP_RegVCWEIR,Input VCWEIR state,,F,,,0,F,F,0,,,,F,0,
__INP_RegVFDPMP,Input VFDPMP state,,F,,,0,F,F,0,,,,F,0,
__INP_RegVLDORF,Input VLDORF state,,F,,,0,F,F,0,,,,F,0,
__INP_RegVRGATE,Input VRGATE state,,F,,,0,F,F,0,,,,F,0,
__INP_RegVSGATE,Input VSGATE state,,F,,,0,F,F,0,,,,F,0,
__INP_RegVSPPMP,Input VSPPMP state,,F,,,0,F,F,0,,,,F,0,
__INP_RegVWWEIR,Input VWWEIR state,,F,,,0,F,F,0,,,,F,0,
__INP_RTCTable,Input for RTC table output,,F,,,0,F,F,0,,,,F,0,
__INP_SMD,Input SMD,,F,,,0,F,F,0,,,,F,0,
__INP_WQ,Input water quality,,F,,,0,F,F,0,,,,F,0,
__IWR_2DLineSource,2D line source,,F,,,0,F,F,0,,,,F,0,
__IWR_2DPermeableZone,Permeable zone (2D),,F,,,0,F,F,0,,,,F,0,
__IWR_2DPointSource,2D point source,,F,,,0,F,F,0,,,,F,0,
__IWR_2DResultsLine,Network results line (2D),,F,,,0,F,F,0,,,,F,0,
__IWR_2DResultsPoint,Network results point (2D),,F,,,0,F,F,0,,,,F,0,
__IWR_2DResultsPolygon,Network results polygon (2D),,F,,,0,F,F,0,,,,F,0,
__IWR_2DZone,2D zone,,F,,,0,F,F,0,,,,F,0,
__IWR_AssocPolygon,Associated Polygon,,F,,,0,F,F,0,,,,F,0,
__IWR_Building,Building,,F,,,0,F,F,0,,,,F,0,
__IWR_DamageReceptor,Damage receptor,,F,,,0,F,F,0,,,,F,0,
__IWR_EvapGauge,Evaporation gage,,F,,,0,F,F,0,,,,F,0,
__IWR_ImpactZone,Risk impact zone,,F,,,0,F,F,0,,,,F,0,
__IWR_LineStructure,Base linear structure (2D),,F,,,0,F,F,0,,,,F,0,
__IWR_Link,Link,,F,,,0,F,F,0,,,,F,0,
__IWR_Node,Node,,F,,,0,F,F,0,,,,F,0,
__IWR_RainGauge,Rain gage,,F,,,0,F,F,0,,,,F,0,
__IWR_Scalar,Scalar,,F,,,0,F,F,0,,,,F,0,
__IWR_Subcatchment,Subcatchment,,F,,,0,F,F,0,,,,F,0,
__IWR_SWMM_Scalar,SWMM Scalar,,F,,,0,F,F,0,,,,F,0,
__IWR_TVDConnector,TVD connector,,F,,,0,F,F,0,,,,F,0,
__LongSection,Dummy long section table for chainage field values,,F,,,0,F,F,0,,,,F,0,
__RIZ_Reports,Impact zone reports,,F,,,0,F,F,0,,,,F,0,
__RPA,RPA,RPA,F,,,0,F,T,0,,,,F,0,
__Validations,IW CS engineering validation rules,,F,,,0,F,F,0,,,,F,0,
__ValPrefGrid,IW CS engineering validation rules data,,F,,,0,F,F,0,,,,F,0,
__Vel_Profile,Velocity profile report,,F,,,0,F,F,0,,,,F,0,
__WorstCase,,,F,,,0,F,T,0,,,,F,0,
Action List,Action list,ACTL,M,,,0,T,F,2118,,,,F,0,
Alert Definition List,Alert definition list,ADL,M,,,0,T,F,1837,,,,F,0,
Alert Instance List,Alert instance list,AIL,M,,,0,T,F,1920,,,,F,0,
ams_scenario,Scenario,,V,ams,,0,F,F,2407,,,,F,2,
Asset Group,Asset group,AG,M,,,0,T,F,0,,,,F,0,
Asset Group Owners,Owners,,M,,,0,F,F,0,,,,F,0,
Asset Group Preferences,Catchment group preferences,,M,,,0,F,F,0,,,,F,0,
Asset Network,Asset network,ASSETNET,M,,,0,T,F,2405,,,,F,0,
Asset Network Template,Asset digitization template,ASSETTMP,M,,,0,T,F,2415,,,,F,0,
