ChoicesName,Position,FieldData,Description,SubVersion,USDescription,AustralianDescription,NewZealandDescription
after_profile,0,0,Extend Forward,0,,,
after_profile,1,1,Extrapolate Forward,0,,,
allocation_status,0,0,OK,0,,,
allocation_status,1,1,Pipe Distance,0,,,
allocation_status,2,2,Same Polygon,0,,,
allocation_status,3,3,Node Distance,0,,,
allocation_status,4,4,Property Count,0,,,
allocation_status,5,5,Nearest Node,0,,,
auto_verify,0,0,No verification,0,,,
auto_verify,1,1,Verify at end,0,,,
auto_verify,2,2,Verify at interval,0,,,
balancenet_min_max,0,0,Min,0,,,
balancenet_min_max,1,1,Max,0,,,
balancenet_month,1,1,January,0,,,
balancenet_month,2,2,February,0,,,
balancenet_month,3,3,March,0,,,
balancenet_month,4,4,April,0,,,
balancenet_month,5,5,May,0,,,
balancenet_month,6,6,June,0,,,
balancenet_month,7,7,July,0,,,
balancenet_month,8,8,August,0,,,
balancenet_month,9,9,September,0,,,
balancenet_month,10,10,October,0,,,
balancenet_month,11,11,November,0,,,
balancenet_month,12,12,December,0,,,
balancenet_time_period,0,0,Day,0,,,
balancenet_time_period,1,1,Week,0,,,
balancenet_time_period,2,2,Month,0,,,
balancenet_time_period,3,3,Year,0,,,
balancenet_weekday,0,0,Monday,0,,,
balancenet_weekday,1,1,Tuesday,0,,,
balancenet_weekday,2,2,Wednesday,0,,,
balancenet_weekday,3,3,Thursday,0,,,
balancenet_weekday,4,4,Friday,0,,,
balancenet_weekday,5,5,Saturday,0,,,
balancenet_weekday,6,6,Sunday,0,,,
before_profile,0,0,Extend Back,0,,,
before_profile,1,1,Extrapolate Back,0,,,
before_profile,2,2,Zero/Unchanged,0,,,
break_flwtyp,0,FIXED,Fixed,0,,,
break_flwtyp,1,PRREL,Pressure Related,0,,,
category_types,0,0,Property,0,,,
category_types,1,1,Average,0,,,
category_types,2,2,Direct,0,,,
category_types,3,3,Equivalent Persons,0,,,
change_type,0,0,Speed,0,,,
change_type,1,1,Trip,0,,,
channel_type,0,CONCENTRATION,CONCENTRATION,0,,,
channel_type,1,DUAL,DUAL,0,,,
channel_type,2,FLOW,FLOW,0,,,
channel_type,3,NUMBER,NUMBER,0,,,
channel_type,4,PRESSURE,PRESSURE,0,,,
channel_type,5,PUMP,PUMP,0,,,
channel_type,6,RESERVOIR,RESERVOIR,0,,,
channel_type,7,PC_VOLUME,PC_VOLUME,0,,,
comparison,0,0,,0,,,
comparison,1,1,Success,0,,,
comparison,2,2,Improvement,0,,,
comparison,3,3,Similar,0,,,
comparison,4,4,Worse,0,,,
comparison,5,5,Failure,0,,,
cumsedst,0,0,undefined,0,,,
cumsedst,1,1,deposit,0,,,
cumsedst,2,2,resuspension,0,,,
cumsedst,3,3,transient,0,,,
cumsedst,4,4,variable,0,,,
data_source,0,SLI,SLI,0,,,
data_source,1,SPECTRALOG,SPECTRALOG,0,,,
data_source,2,WISDOM,WISDOM,0,,,
data_source,3,WESSEX,WESSEX,0,,,
data_source,4,TSD,TSD,0,,,
data_source,5,%%TSDM%%,%%TSDM%%,0,,,
database_type,0,0,JET,0,,,
database_type,1,1,Oracle,0,,,
database_type,3,3,SQL Server,0,,,
database_type,4,4,ODBC,0,,,
database_type,5,5,PI,0,,,
database_type,6,6,CSV,0,,,
database_type,9,9,iHistorian,0,,,
database_type,10,10,ClearSCADA,0,,,
database_type,11,11,SQL Server (ODBC),0,,,
database_type,12,12,JET (ACE),0,,,
database_type,13,13,Info360,0,,,
database_type,14,14,PI Web API,0,,,
database_type,17,17,info360.com,0,,,
demand_interpolation,0,0,Beginning,0,,,
demand_interpolation,1,1,Middle,0,,,
demand_interpolation,2,2,End,0,,,
demand_pattern_mode,0,0,24 Hour Pattern,0,,,
demand_pattern_mode,1,1,7 Day Pattern,0,,,
demand_pattern_mode,2,2,Universal 24 Hour Pattern,0,,,
demand_pattern_mode,3,3,Universal 7 Day Pattern,0,,,
demand_watch_mode,0,0,None,0,,,
demand_watch_mode,1,1,Assign to nodes,0,,,
demand_watch_mode,2,2,Subtract from demand flow,0,,,
DemScaleMode,0,STATIC,Static,0,,,
DemScaleMode,1,TIMEVAR,Time Varying,0,,,
DemScaleProfileType,0,24HOUR,24 Hour,0,,,
DemScaleProfileType,1,7DAY,7 Day,0,,,
DemScaleProfileType,2,ABSOLUTE,Absolute,0,,,
derived_type,0,0,None,0,,,
derived_type,1,1,Flow,0,,,
es_summary_results,0,0,SHP,0,,,
es_summary_results,1,1,MIF,0,,,
