Name,Type,Description
after_profile,Integer,
allocation_status,Integer,
auto_verify,Integer,
balancenet_min_max,Integer,
balancenet_month,Integer,
balancenet_time_period,Integer,
balancenet_weekday,Integer,
before_profile,Integer,
break_flwtyp,Text,
category_types,Integer,
change_type,Integer,
channel_shape_type,Text,
channel_type,Text,
comparison,Integer,
cumsedst,Integer,
data_source,Text,
database_type,Integer,
demand_interpolation,Integer,
demand_pattern_mode,Integer,
demand_watch_mode,Integer,
DemScaleMode,Text,
DemScaleProfileType,Text,
derived_type,Integer,
es_summary_results,Integer,
es_time_varying_results,Integer,
es_warning_details,Integer,
es_warning_priority,Integer,
es_warning_summary,Integer,
export_type,Integer,
forecast_time_unit,Integer,
gmr_result_objects,Integer,
gmr_results,Integer,
gmr_retain_simulations,Integer,
group_by,Integer,
group_function,Integer,
inlet_position,Boolean,
iwl_display_local_upc,Integer,
IWLiveDashboard,Text,
iwts_inertia_type,Text,
iwts_intr_calc_type,Text,
iwts_pump_change,Text,
iwts_spd_type,Text,
iwts_switching_type,Text,
iwtsRegulatorType,Text,
landuse_methods,Integer,
leakage_application,Integer,
link_break_type,Integer,
link_status,Integer,
live_data_adaptor,Integer,
live_time_step,Integer,
logon_type,Integer,
lookup_type,Integer,
material,Text,
mode_of_operation,Integer,
node_demand_category,Integer,
node_demand_source,Integer,
node_status,Integer,
open_channel_roughness_type,Text,
pcf_method,Integer,
period,Integer,
pm_area_type,Integer,
prd_relationship,Integer,
price_of_water,Text,
priority,Integer,
profile_type,Text,
pump_control_status,Integer,
pump_mode,Text,
pump_or_valve_mode,Integer,
pump_result_status,Integer,
pump_status,Text,
pump_status_livec,Integer,
pwatch_channel,Text,
pwatch_method,Text,
pwatch_product,Text,
regulation_type,Boolean,
repeat_period,Integer,
ResultsSelectorExclusionCh,Integer,
ResultsSelectorInclusionCh,Integer,
ResultsSelectorMethodCh,Integer,
ResultsSelectorTimRanT,Integer,
reverse_logic,Boolean,
roughness_type,Text,
scadawatch_duration,Text,
scadawatch_seriestype,Text,
sedstat,Integer,
shape,Text,
SOURCE,Text,
sql_server_provider,Integer,
status,Text,
system_role,Text,
system_type,Text,
target_point_type,Integer,
test_criterion,Integer,
TEST_FLOW,Text,
trace_dominant,Integer,
UF,Text,
USDS,Text,
validation_result,Integer,
valve_control_status,Integer,
valve_curve_type,Boolean,
valve_mode,Text,
valve_prsv_mode,Text,
valve_result_status,Integer,
voltage,Boolean,
WallOrder,Integer,
warning_type,Integer,
well_mode,Integer,
wq_bulk_coeff_mode,Integer,
wq_mixing_model,Integer,
wq_solute_type,Text,
wq_source_type,Integer,
wq_turb_source_type,Integer,
