TableName,IndexName,Primary,Unique,Required,Index1,Index2,Index3,Index4,Index5,Index6,Index7
Alt_Demand,Name,F,T,T,Name,,,,,,
Alt_Demand,PrimaryKey,T,T,T,ID,,,,,,
Archive,PrimaryKey,T,T,T,ID,,,,,,
Baseline,PrimaryKey,T,T,T,ID,,,,,,
Baseline Explorer,PrimaryKey,T,T,T,ID,,,,,,
Baseline Preferences,PrimaryKey,T,T,T,AppType,User,Baseline ID,Name,,,
Catchment Group,PrimaryKey,T,T,T,ID,,,,,,
Catchment Group Preferences,PrimaryKey,T,T,T,ProjectID,Name,,,,,
Compare Preferences,PrimaryKey,T,T,T,User,Baseline ID,Name,First Run ID,Second Run ID,,
Control,Name,F,T,T,Name,,,,,,
Control,PrimaryKey,T,T,T,ID,,,,,,
Custom Report,PrimaryKey,T,T,T,ID,,,,,,
Custom Report Group,PrimaryKey,T,T,T,ID,,,,,,
Demand Diagram,PrimaryKey,T,T,T,ID,,,,,,
Demand Diagram Group,PrimaryKey,T,T,T,ID,,,,,,
Demand Scaling,PrimaryKey,T,T,T,ID,,,,,,
Demand Scaling Group,PrimaryKey,T,T,T,ID,,,,,,
Electricity Tariff,PrimaryKey,T,T,T,ID,,,,,,
Electricity Tariff Group,PrimaryKey,T,T,T,ID,,,,,,
Energy GHG Factors,PrimaryKey,T,T,T,ID,,,,,,
Energy GHG Factors Group,PrimaryKey,T,T,T,ID,,,,,,
Engineering Validation,PrimaryKey,T,T,T,ID,,,,,,
Engineering Validation Group,PrimaryKey,T,T,T,ID,,,,,,
Export Style,PrimaryKey,T,T,T,ID,,,,,,
Export Style Group,PrimaryKey,T,T,T,ID,,,,,,
FireFlowData,PrimaryKey,T,T,T,ID,,,,,,
FireFlowData Group,PrimaryKey,T,T,T,ID,,,,,,
Flushing Schedule,PrimaryKey,T,T,T,ID,,,,,,
Flushing Schedule Group,PrimaryKey,T,T,T,ID,,,,,,
ge_prefs,PrimaryKey,T,T,T,Name,,,,,,
ge_status,PrimaryKey,T,T,T,status_id,,,,,,
ge_tree_object,PrimaryKey,T,T,T,polygon_id,,,,,,
Gen Multi Run Cfg,PrimaryKey,T,T,T,ID,,,,,,
Gen Multi Run Cfg Group,PrimaryKey,T,T,T,ID,,,,,,
Geo Explorer,Name,F,T,T,Name,,,,,,
Geo Explorer,PrimaryKey,T,T,T,ID,,,,,,
Geometry,Name,F,T,T,Name,,,,,,
Geometry,PrimaryKey,T,T,T,ID,,,,,,
Geometry Template,PrimaryKey,T,T,T,ID,,,,,,
Global Preferences,PrimaryKey,T,T,T,Name,,,,,,
Globals,PrimaryKey,T,T,T,GUID,,,,,,
Graph,PrimaryKey,T,T,T,ID,,,,,,
Graph Group,PrimaryKey,T,T,T,ID,,,,,,
Gridded Ground Model,PrimaryKey,T,T,T,ID,,,,,,
Gridded Ground Model Group,PrimaryKey,T,T,T,ID,,,,,,
Ground Model,PrimaryKey,T,T,T,ID,,,,,,
Ground Model Group,PrimaryKey,T,T,T,ID,,,,,,
Headline Preferences,PrimaryKey,T,T,T,AppType,User,Name,,,,
Inference,PrimaryKey,T,T,T,ID,,,,,,
Inference Group,PrimaryKey,T,T,T,ID,,,,,,
IWL Switch Controller,PrimaryKey,T,T,T,ID,,,,,,
IWL Switch Controller Group,PrimaryKey,T,T,T,ID,,,,,,
iwl_baseline_field,PrimaryKey,T,T,T,table_name,obj_id,field_name,,,,
iwl_baseline_verify,PrimaryKey,T,T,T,table_name,obj_id,results_field,,,,
iwl_prefs,PrimaryKey,T,T,T,Name,,,,,,
iwl_tree_object,PrimaryKey,T,T,T,polygon_id,,,,,,
IWLive RunInfo,PrimaryKey,T,T,T,ID,,,,,,
IWLive RunInfo Group,PrimaryKey,T,T,T,ID,,,,,,
IWLive Workspace,PrimaryKey,T,T,T,AppType,User,Name,,,,
Label List,PrimaryKey,T,T,T,ID,,,,,,
Label List Group,PrimaryKey,T,T,T,ID,,,,,,
Layer List,PrimaryKey,T,T,T,ID,,,,,,
Layer List Group,PrimaryKey,T,T,T,ID,,,,,,
Model 360 Cfg,PrimaryKey,T,T,T,ID,,,,,,
Model 360 Cfg Group,PrimaryKey,T,T,T,ID,,,,,,
Owners,PrimaryKey,T,T,T,Name,Catchment Group,,,,,
Polygon,PrimaryKey,T,T,T,ID,,,,,,
Polygon Group,PrimaryKey,T,T,T,ID,,,,,,
Report Cfg,PrimaryKey,T,T,T,ID,,,,,,
Report Cfg Group,PrimaryKey,T,T,T,ID,,,,,,
ResultsSelector,PrimaryKey,T,T,T,ID,,,,,,
ResultsSelector Group,PrimaryKey,T,T,T,ID,,,,,,
RTC Group,PrimaryKey,T,T,T,ID,,,,,,
RTC Scenario,PrimaryKey,T,T,T,ID,,,,,,
Selection List,PrimaryKey,T,T,T,ID,,,,,,
Selection List Group,PrimaryKey,T,T,T,ID,,,,,,
SoluteData,PrimaryKey,T,T,T,ID,,,,,,
SoluteData Group,PrimaryKey,T,T,T,ID,,,,,,
Stored Query,PrimaryKey,T,T,T,ID,,,,,,
Stored Query Group,PrimaryKey,T,T,T,ID,,,,,,
Theme,PrimaryKey,T,T,T,ID,,,,,,
Theme Group,PrimaryKey,T,T,T,ID,,,,,,
User Workspace,PrimaryKey,T,T,T,ID,,,,,,
Users,PrimaryKey,T,T,T,Name,,,,,,
Warning Template,PrimaryKey,T,T,T,ID,,,,,,
Warning Template Group,PrimaryKey,T,T,T,ID,,,,,,
Wesnet Live Data,Name,F,T,T,Name,,,,,,
Wesnet Live Data,PrimaryKey,T,T,T,ID,,,,,,
Wesnet Run,PrimaryKey,T,T,T,ID,,,,,,
Wesnet Run Group,PrimaryKey,T,T,T,ID,,,,,,
Wesnet Sim,PrimaryKey,T,T,T,ID,,,,,,
wn_address_point,PrimaryKey,T,T,T,reference,,,,,,
wn_alt_customer_demand,PrimaryKey,T,T,T,reference,,,,,,
wn_alt_landuse_demand,PrimaryKey,T,T,T,node_id,,,,,,
wn_alt_node_demand,PrimaryKey,T,T,T,node_id,,,,,,
wn_category,PrimaryKey,T,T,T,category_id,,,,,,
wn_componentset_area,PrimaryKey,T,T,T,componentset_id,,,,,,
wn_componentset_node,PrimaryKey,T,T,T,componentset_id,,,,,,
wn_componentset_pipe,PrimaryKey,T,T,T,componentset_id,,,,,,
wn_componentset_pump,PrimaryKey,T,T,T,componentset_id,,,,,,
wn_componentset_res,PrimaryKey,T,T,T,componentset_id,,,,,,
wn_ctl_fixed_head,PrimaryKey,T,T,T,node_id,,,,,,
wn_ctl_float_valve,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_ctl_hydrant,PrimaryKey,T,T,T,node_id,,,,,,
wn_ctl_meter,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_ctl_node,PrimaryKey,T,T,T,node_id,,,,,,
wn_ctl_non_return_valve,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_ctl_open_channel,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_ctl_pipe,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_ctl_profile,PrimaryKey,T,T,T,id,,,,,,
wn_ctl_pst,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_ctl_reservoir,PrimaryKey,T,T,T,node_id,,,,,,
wn_ctl_scenario,PrimaryKey,T,T,T,scenario__id,,,,,,
wn_ctl_transfer_node,PrimaryKey,T,T,T,node_id,,,,,,
wn_ctl_valve,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_ctl_well,PrimaryKey,T,T,T,node_id,,,,,,
wn_demand_area,PrimaryKey,T,T,T,area_id,,,,,,
wn_DigitiseValues,PrimaryKey,T,T,T,name,,,,,,
wn_fixed_head,PrimaryKey,T,T,T,node_id,,,,,,
wn_float_valve,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_hydrant,PrimaryKey,T,T,T,node_id,,,,,,
wn_incident_report,PrimaryKey,T,T,T,identifier,,,,,,
wn_landuse,PrimaryKey,T,T,T,landuse2_id,,,,,,
wn_live_data_composite,PrimaryKey,T,T,T,feed_name,,,,,,
wn_live_data_export,PrimaryKey,T,T,T,feed_name,,,,,,
wn_live_data_feed,PrimaryKey,T,T,T,feed_name,,,,,,
wn_live_data_logon,PrimaryKey,T,T,T,connection_name,,,,,,
wn_live_data_lookup,PrimaryKey,T,T,T,lookup_name,lookup_value,,,,,
wn_live_data_lookup_2,PrimaryKey,T,T,T,lookup_name,,,,,,
wn_live_data_point,PrimaryKey,T,T,T,live_data_point_id,,,,,,
wn_live_data_prefs,PrimaryKey,T,T,T,Name,,,,,,
wn_lu_fake_blob,PrimaryKey,T,T,T,landuse2_id,,,,,,
wn_meter,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_meter_construction,PrimaryKey,T,T,T,id,,,,,,
wn_node,PrimaryKey,T,T,T,node_id,,,,,,
wn_node_landuse_areas,PrimaryKey,T,T,T,landuse2_id,,,,,,
wn_non_return_valve,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_open_channel,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_pipe,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_pipe_material,PrimaryKey,T,T,T,id,,,,,,
wn_polygon,PrimaryKey,T,T,T,polygon_id,,,,,,
wn_polygon_node,PrimaryKey,T,T,T,polygon_id,,,,,,
wn_prd_curve,PrimaryKey,T,T,T,curve_id,,,,,,
wn_prefs,PrimaryKey,T,T,T,Name,,,,,,
wn_prunes,PrimaryKey,T,T,T,prune_id,,,,,,
wn_pst,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_pump,PrimaryKey,T,T,T,id,,,,,,
wn_reservoir,PrimaryKey,T,T,T,node_id,,,,,,
wn_scenario,PrimaryKey,T,T,T,scenario__id,,,,,,
wn_transfer_node,PrimaryKey,T,T,T,node_id,,,,,,
wn_valve,PrimaryKey,T,T,T,us_node_id,ds_node_id,link_suffix,,,,
wn_valve_curve,PrimaryKey,T,T,T,curve_id,,,,,,
wn_well,PrimaryKey,T,T,T,node_id,,,,,,
wn_zone,PrimaryKey,T,T,T,name,,,,,,
wnt_address_point,PrimaryKey,T,T,T,template_id,,,,,,
wnt_fixed_head,PrimaryKey,T,T,T,template_id,,,,,,
wnt_float_valve,PrimaryKey,T,T,T,template_id,,,,,,
wnt_hydrant,PrimaryKey,T,T,T,template_id,,,,,,
wnt_incident_report,PrimaryKey,T,T,T,template_id,,,,,,
wnt_landuse,PrimaryKey,T,T,T,template_id,,,,,,
wnt_meter,PrimaryKey,T,T,T,template_id,,,,,,
wnt_node,PrimaryKey,T,T,T,template_id,,,,,,
wnt_non_return_valve,PrimaryKey,T,T,T,template_id,,,,,,
wnt_pipe,PrimaryKey,T,T,T,template_id,,,,,,
wnt_polygon,PrimaryKey,T,T,T,template_id,,,,,,
wnt_polygon_node,PrimaryKey,T,T,T,template_id,,,,,,
wnt_pst,PrimaryKey,T,T,T,template_id,,,,,,
wnt_reservoir,PrimaryKey,T,T,T,template_id,,,,,,
wnt_transfer_node,PrimaryKey,T,T,T,template_id,,,,,,
wnt_valve,PrimaryKey,T,T,T,template_id,,,,,,
wnt_well,PrimaryKey,T,T,T,template_id,,,,,,
Workspace,PrimaryKey,T,T,T,ID,,,,,,
Workspace Group,PrimaryKey,T,T,T,ID,,,,,,
Zone Explorer,PrimaryKey,T,T,T,ID,,,,,,
Zone Preferences,PrimaryKey,T,T,T,User,Baseline ID,Name,,,,
