Name,Description,ShortCode,Type,SubType,PrimarySubTypeField,CSV,NormalModelTable,StructureOrdinalsMatter,SubVersion,GeometryType,LDSUniqueIDGroup,TemplateOf,IsSingleRecordTable,ScenarioMode,AssetNetworkTableClass
__IWR_Componentset,IWR Component Set Pipe Result Attributes,,F,,,0,F,F,363,,,,F,,
__IWR_Link,IWR Link Result Attributes,,F,,,0,F,F,0,,,,F,,
__IWR_Node,IWR Node Result Attributes,,F,,,0,F,F,0,,,,F,,
__IWR_Scalar,IWR Scalar Result Attributes,,F,,,0,F,F,0,,,,F,,
__LongSection,Dummy Long Section Table,,F,,,0,F,F,0,,,,F,,
__Validations,IW CS Engineering Validation Rules,,F,,,0,F,F,0,,,,F,,
__ValPrefGrid,IW CS Engineering Validation Rules Data,,F,,,0,F,F,0,,,,F,,
Alt_Demand,Alternative Demand,ALTDMD,M,,,0,T,F,277,,,,F,,
Archive,Archive,,O,,,0,F,F,5,,,,F,,
Baseline,Baseline,BLINE,M,,,0,T,F,600,,,,F,,
Baseline Explorer,Baseline Explorer,BLINEEX,M,,,0,T,F,601,,,,F,,
Baseline Preferences,Baseline Preferences,,M,,,0,F,F,967,,,,F,,
Catchment Group,Model Group,CG,M,,,0,T,F,0,,,,F,,
Catchment Group Preferences,Model Group Preferences,,M,,,0,F,F,174,,,,F,,
Compare Preferences,Compare Preferences,,M,,,0,F,F,967,,,,F,,
Control,Control,CON,M,,,0,T,F,0,,,,F,,
criticality_criteria,Criticality Criteria,,F,,,0,F,T,1102,,,,F,,
Custom Report,Custom Report,CR,M,,,0,T,F,187,,,,F,,
Custom Report Group,Custom Report Group,CRG,M,,,0,T,F,187,,,,F,,
Demand Diagram,Demand Diagram,DDG,M,,,0,T,F,0,,,,F,,
Demand Diagram Group,Demand Diagram Group,DDGG,M,,,0,T,F,0,,,,F,,
Demand Scaling,Demand Scaling,DSCL,M,,,0,T,F,0,,,,F,,
Demand Scaling Group,Demand Scaling Group,DSCLG,M,,,0,T,F,0,,,,F,,
Electricity Tariff,Electricity Tariff,ETAR,M,,,0,T,F,0,,,,F,,
Electricity Tariff Group,Electricity Tariff Group,ETARG,M,,,0,T,F,0,,,,F,,
Energy GHG Factors,Energy CO2 Factors,EGHGF,M,,,0,T,F,526,,,,F,,
Energy GHG Factors Group,Energy CO2 Factors Group,EGHGFG,M,,,0,T,F,526,,,,F,,
Engineering Validation,Engineering Validation,ENV,M,,,0,T,F,68,,,,F,,
Engineering Validation Group,Engineering Validation Group,ENVG,M,,,0,T,F,68,,,,F,,
Export Style,Export Style,ES,M,,,0,T,F,802,,,,F,,
Export Style Group,Export Style Group,ESG,M,,,0,T,F,802,,,,F,,
FireFlowData,Fire Flow,FF,M,,,0,T,F,156,,,,F,,
FireFlowData Group,Fire Flow Group,FFG,M,,,0,T,F,156,,,,F,,
Flushing Schedule,Flushing Schedule,FSCH,M,,,0,T,F,415,,,,F,,
Flushing Schedule Group,Flushing Schedule Group,FSCHG,M,,,0,T,F,415,,,,F,,
ge_prefs,Geo Explorer Preferences,,W,ge,,0,F,F,273,,,,F,,
ge_status,Status,,V,ge,,1,F,F,406,,,,F,,
ge_tree_object,Zone,,V,ge,,1,F,F,273,Polygon,,,F,,
Gen Multi Run Cfg,Generalised Multi Run Config,GMRC,M,,,0,T,F,1083,,,,F,,
Gen Multi Run Cfg Group,Generalised Multi Run Group,GMRCG,M,,,0,T,F,1083,,,,F,,
Geo Explorer,GeoExplorer,GEOEX,M,,,0,T,F,273,,,,F,,
Geometry,Network,GMT,M,,,0,T,F,0,,,,F,,
Geometry Template,Digitization Template,GMTTMPL,M,,,0,T,F,301,,,,F,,
Global Preferences,Global Preferences,,M,,,0,F,F,0,,,,F,,
Globals,Globals,,O,,,0,F,F,0,,,,F,,
gmr_results_fields,GMR Results Fields,,F,,,0,F,T,0,,,,F,,
gmr_test_case_instructions,GMR Test Case Instructions,,F,,,0,F,T,0,,,,F,,
Graph,Graph,GDT,M,,,0,T,F,120,,,,F,,
Graph Group,Graph Group,GDTG,M,,,0,T,F,120,,,,F,,
Gridded Ground Model,Ground Model Grid,GGM,M,,,0,T,F,78,,,,F,,
Gridded Ground Model Group,Ground Model Grid Group,GGMG,M,,,0,T,F,78,,,,F,,
Ground Model,Ground Model TIN,GM,M,,,0,T,F,78,,,,F,,
Ground Model Group,Ground Model TIN Group,GMG,M,,,0,T,F,78,,,,F,,
Headline Preferences,Headline Preferences,,M,,,0,F,F,967,,,,F,,
Inference,Inference,INF,M,,,0,T,F,150,,,,F,,
Inference Group,Inference Group,INFG,M,,,0,T,F,150,,,,F,,
IWL Switch Controller,IWLive Switch Controller,IWLSC,M,,,0,T,F,617,,,,F,,
IWL Switch Controller Group,IWLive Switch Controller Group,IWLSCG,M,,,0,T,F,617,,,,F,,
iwl_all_objects,All Objects,,F,,,0,F,T,0,,,,F,,
iwl_baseline_field,IWLive baseline field changes,,V,bl,,1,F,F,600,,,,F,,
iwl_baseline_field_overrides,Overrides,,F,,,0,F,T,0,,,,F,,
iwl_baseline_verify,IWLive baseline verification,,V,bl,,1,F,F,700,,,,F,,
iwl_baseline_zones,IWLive baseline zone changes,,F,,,0,F,T,917,,,,F,,
iwl_blob_feeds,IWLive Blob Feeds,,F,,,0,F,T,0,,,,F,,
iwl_datetime_value,IWLive Date Time values,,F,,,0,F,T,0,,,,F,,
iwl_demand_value,IWLive Demand values,,F,,,0,F,T,0,,,,F,,
iwl_demand_value_direct,IWLive Direct Demand values,,F,,,0,F,T,0,,,,F,,
iwl_demandwatch_feed,IWLive Demand values,,F,,,0,F,T,0,,,,F,,
iwl_export_balancenet_sched,BalanceNet Schedule Export,,F,,,0,F,T,0,,,,F,,
iwl_export_pressure_watch,Pressure Watch Export,,F,,,0,F,T,0,,,,F,,
iwl_export_summary_results,Summary Results Export,,F,,,0,F,T,0,,,,F,,
iwl_export_time_varying,Time Varying Results Export,,F,,,0,F,T,0,,,,F,,
iwl_export_warning_detail,Warning Detail Export,,F,,,0,F,T,0,,,,F,,
iwl_export_warning_summary,Warning Summary Export,,F,,,0,F,T,0,,,,F,,
iwl_object_types,Object Types,,F,,,0,F,T,0,,,,F,,
iwl_prefs,Geo Explorer Preferences,,W,be,,0,F,F,780,,,,F,,
iwl_pressure_watch_models,PressureWatch,,F,,,0,F,T,877,,,,F,,
iwl_results_enabling,Results Enabling,,F,,,0,F,T,0,,,,F,,
iwl_run_fields,IWL Run Fields,,F,,,0,F,T,0,,,,F,,
iwl_run_verify_fields,Verify fields,,F,,,0,F,T,0,,,,F,,
iwl_runerror_messages,Messages,,F,,,0,F,T,0,,,,F,,
iwl_tariff_value,IWLive Tariff values,,F,,,0,F,T,0,,,,F,,
iwl_tariff_value_max,IWLive Tariff values,,F,,,0,F,T,0,,,,F,,
iwl_tree_object,Baseline,,V,be,,0,F,F,601,Polygon,,,F,,
iwl_trigger_feeds,Trigger Feeds,,F,,,0,F,T,0,,,,F,,
iwl_trigger_reason,Trigger Reason,,F,,,0,F,T,0,,,,F,,
iwl_warnings,Warnings,,F,,,0,F,T,0,,,,F,,
IWLive RunInfo,IWLive Run Info,IWLRI,M,,,0,T,F,601,,,,F,,
IWLive RunInfo Group,IWLive Run Info Group,IWLRIG,M,,,0,T,F,601,,,,F,,
IWLive Workspace,IWLive Workspace,,M,,,0,F,F,968,,,,F,,
Label List,Label List,LAB,M,,,0,T,F,38,,,,F,,
Label List Group,Label List Group,LABG,M,,,0,T,F,38,,,,F,,
Layer List,Layer List,LL,M,,,0,T,F,62,,,,F,,
Layer List Group,Layer List Group,LLG,M,,,0,T,F,62,,,,F,,
m360_cfg_association,Model 360 Association,,F,,,0,F,T,0,,,,F,,
m360_cfg_dashboard,Model 360 Dashboard,,F,,,0,F,T,0,,,,F,,
m360_cfg_graph,Model 360 Graph,,F,,,0,F,T,0,,,,F,,
m360_cfg_trace,Model 360 Trace,,F,,,0,F,T,0,,,,F,,
Model 360 Cfg,Model 360 Configuration,M360C,M,,,0,T,F,1159,,,,F,,
Model 360 Cfg Group,Model 360 Configuration Group,M360CG,M,,,0,T,F,1159,,,,F,,
Owners,Owners,,M,,,0,F,F,16,,,,F,,
Polygon,Polygon,POL,M,,,0,T,F,0,,,,F,,
Polygon Group,Polygon Group,POLG,M,,,0,T,F,0,,,,F,,
pro_f_list_of_names,List of names,,F,,,0,F,T,99,,,,F,,
Report Cfg,Report Config,RC,M,,,0,T,F,1102,,,,F,,
Report Cfg Group,Report Group,RCG,M,,,0,T,F,1102,,,,F,,
ResultsSelector,Results Selector,RESSEL,M,,,0,T,F,1094,,,,F,,
ResultsSelector Group,Results Selector Group,RESSELG,M,,,0,T,F,1094,,,,F,,
RTC Group,UPC Group,RTCG,M,,,0,T,F,41,,,,F,,
RTC Scenario,UPC Scenario,RTC,M,,,0,T,F,41,,,,F,,
Selection List,Selection List,SEL,M,,,0,T,F,0,,,,F,,
Selection List Group,Selection List Group,SELG,M,,,0,T,F,0,,,,F,,
SoluteData,Solute Data,SD,M,,,0,T,F,209,,,,F,,
SoluteData Group,Solute Data Group,SDG,M,,,0,T,F,209,,,,F,,
Source,Source,,L,,,0,F,F,0,,,,F,,
Stored Query,Stored Query,SQL,M,,,0,T,F,0,,,,F,,
Stored Query Group,Stored Query Group,SQLQ,M,,,0,T,F,0,,,,F,,
Theme,Theme,THM,M,,,0,T,F,10,,,,F,,
Theme Group,Theme Group,THMG,M,,,0,T,F,10,,,,F,,
User Workspace,User Workspace,UWKSP,M,,,0,T,F,2003,,,,F,,
Users,Users,,M,,,0,F,F,16,,,,F,,
Warning Template,Warning Template,WT,M,,,0,T,F,600,,,,F,,
Warning Template Group,Warning Template Group,WTG,M,,,0,T,F,600,,,,F,,
Wesnet Live Data,Live Data Configuration,WNLIVE,M,,,0,T,F,0,,,,F,,
Wesnet Run,Run,WNRUN,M,,,0,T,F,0,,,,F,,
Wesnet Run Group,Run Group,WNRUNG,M,,,0,T,F,0,,,,F,,
Wesnet Sim,Sim,WNSIM,M,,,0,T,F,0,,,,F,,
wesnet_run_iwts,TS fields,,F,,,0,F,T,0,,,,F,,
wn_address_point,Customer Point,,V,wn,,1,F,F,18,Point,,,F,1,
wn_address_point_allocation,Customer Point Allocation,,V,wn,,0,F,F,19,,,,T,1,
wn_alt_customer_demand,Customer Demand,,V,ad,,1,F,F,279,,,,F,,
wn_alt_landuse_demand,Land Use Demand,,V,ad,,1,F,F,379,,,,F,,
wn_alt_node_demand,Node Demand,,V,ad,,1,F,F,284,,,,F,,
wn_area_group_area_nodes,Node Group Nodes,,F,,,0,F,T,1158,,,,F,,
wn_area_group_boundary_links,Node Group Nodes,,F,,,0,F,T,1158,,,,F,,
wn_category,Polygon Category,,V,wn,,1,F,F,14,,,,F,1,
wn_channel_shape,Channel Shape,,V,wn,,0,F,F,1132,,,,F,1,
wn_componentset_area,Area Group,,V,wn,,1,F,F,1162,PolygonAndPoint,,,F,1,
wn_componentset_node,Node Group,,V,wn,,1,F,F,1158,PolygonAndPoint,,,F,1,
wn_componentset_pipe,Link Group,,V,wn,,1,F,F,351,PolygonAndPoint,,,F,1,
wn_componentset_pump,Pump Station Group,,V,wn,,1,F,F,351,PolygonAndPoint,,,F,1,
wn_componentset_res,Reservoir Group,,V,wn,,1,F,F,351,PolygonAndPoint,,,F,1,
wn_composite_feeds,Composite Feeds,,F,,,0,F,T,0,,,,F,,
wn_cp_fake_blob,CP Fake Blob,,F,,,0,F,T,0,,,,F,,
wn_ctl_drawdown_curve,Drawdown Curve,,F,,,0,F,T,166,,,,F,,
wn_ctl_drawdown_curve_7_5,Drawdown Curve,,F,,,0,F,T,373,,,,F,,
wn_ctl_f_balancenet_volume,BalanceNet Volume Constraints,,F,,,0,F,T,0,,,,F,,
wn_ctl_f_pst_livec,pump station live control,,F,,,0,F,T,758,,,,F,,
wn_ctl_f_pst_pumps_profiles,Pump Profiles,,F,,,0,F,T,911,,,,F,,
wn_ctl_fixed_head,Fixed Head,,V,ctl,,1,F,F,0,,,,F,1,
wn_ctl_float_valve,Float Valve/Inlet,,V,ctl,,1,F,F,0,,,,F,1,
wn_ctl_hydrant,Hydrant,,V,ctl,,1,F,F,90,,,,F,1,
wn_ctl_iwts_surge_pres_tme,SPD Surge Pressure Time,,F,,,0,F,T,759,,,,F,,
wn_ctl_level_profile,Levels,,F,,,0,T,T,0,,,,F,,
wn_ctl_level_profile_7_5,Levels,,F,,,0,T,T,373,,,,F,,
wn_ctl_meter,Meter,,V,ctl,,1,F,F,41,,,,F,1,
wn_ctl_node,Node,,V,ctl,,1,F,F,0,,,,F,1,
